LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-81064,Santa Cruz Bend,AZ AA:12:746,USA,Arizona,2260,60,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-81058,Santa Cruz Bend,AZ AA:12:746,USA,Arizona,2290,60,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-81059,Santa Cruz Bend,AZ AA:12:746,USA,Arizona,2290,60,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-67489,Santa Cruz Bend,AZ AA:12:746,USA,Arizona,2390,70,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-81062,Santa Cruz Bend,AZ AA:12:746,USA,Arizona,2440,50,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-81066,Stone Pipe,AZ BB:13:425,USA,Arizona,2390,50,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-81067,Stone Pipe,,USA,Arizona,2150,60,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-81069,Stone Pipe,,USA,Arizona,2360,50,Zea mays,Maize,NA,NA,AMS,p3k14c
AA-6639,Clearwater,AZ BB:13:6,USA,Arizona,2360,60,Zea mays,"Zea mays cupule, charred (ID verified by Diehl)",NA,-22.5,AMS,p3k14c
Beta-155367,Julian Wash,AZ BB:13:17 ,USA,Arizona,2200,40,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-155368,Julian Wash,AZ BB:13:17 ,USA,Arizona,2290,40,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-59604,NA,42Ws0964,USA,Utah,1130,60,Zea mays,Maize,NA,NA,NA,CARD
Beta-311759,NA,42Ws5164,USA,Utah,1370,30,Zea mays,Zea Mays,NA,-12.9,AMS,p3k14c
Beta-311762,NA,42Ws5164,USA,Utah,1240,30,Zea mays,Zea Mays,NA,-11.1,AMS,p3k14c
Beta-311761,NA,42Ws5164,USA,Utah,1260,30,Zea mays,Zea Mays,NA,-10.2,AMS,p3k14c
Beta-311760,NA,42Ws5164,USA,Utah,1230,30,Zea mays,Zea Mays,NA,-11.1,AMS,p3k14c
Beta-311769,NA,42Ws5167,USA,Utah,1390,30,Zea mays,Zea Mays,NA,-11.5,AMS,p3k14c
Beta-311777,NA,42Ws5167,USA,Utah,1320,30,Zea mays,Zea Mays,NA,-11.4,AMS,p3k14c
Beta-311764,NA,42Ws5167,USA,Utah,1320,30,Zea mays,Zea Mays,NA,-11.3,AMS,p3k14c
Beta-311773,NA,42Ws5167,USA,Utah,1330,30,Zea mays,Zea Mays,NA,-11.3,AMS,p3k14c
Beta-311763,NA,42Ws5167,USA,Utah,1340,30,Zea mays,Zea Mays,NA,-10.7,AMS,p3k14c
Beta-311772,NA,42Ws5167,USA,Utah,1340,30,Zea mays,Zea Mays,NA,-10.7,AMS,p3k14c
Beta-311768,NA,42Ws5167,USA,Utah,1320,30,Zea mays,Zea Mays,NA,-10.6,AMS,p3k14c
Beta-311771,NA,42Ws5167,USA,Utah,1360,30,Zea mays,Zea Mays,NA,-10.6,AMS,p3k14c
Beta-311767,NA,42Ws5167,USA,Utah,1320,30,Zea mays,Zea Mays,NA,-10.2,AMS,p3k14c
Beta-311766,NA,42Ws5167,USA,Utah,1410,30,Zea mays,Zea Mays,NA,-10.9,NA,p3k14c
Beta-311770,NA,42Ws5167,USA,Utah,1300,30,Zea mays,Zea Mays,NA,-11.1,AMS,p3k14c
Beta-311765,NA,42Ws5167,USA,Utah,1810,30,Zea mays,Zea Mays,NA,-12.1,AMS,p3k14c
Beta-311775,NA,42Ws5167,USA,Utah,1820,30,Zea mays,Zea Mays,NA,-10.9,AMS,p3k14c
Beta-353659,Ant Bite,42Ws1147,USA,Utah,860,30,Zea mays,Maize,NA,-10.4,AMS,p3k14c
