LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-134616,NA,42Ga4543,USA,Utah,1590,80,Zea mays,Zea Mays,NA,-9.8,NA,p3k14c
NSRL-10592,Cerro Vidal,,Mexico,Chihuahua,2100,40,Zea mays,maize cupule,NA,NA,AMS,p3k14c
NSRL-10712,Cerro Vidal,,Mexico,Chihuahua,2340,55,Zea mays,maize cupule,NA,NA,AMS,p3k14c
UGAMS-3949,NickPat Granary,42Em2885,USA,Utah,965,23,Zea mays,Zea Mays,NA,-10.65,AMS,p3k14c
Beta-175755,NickPat Granary,42Em2885,USA,Utah,940,50,Zea mays,Zea Mays,NA,-9.1,NA,p3k14c
Beta-134619,NA,42Ga4561,USA,Utah,1320,70,Zea mays,Zea Mays,NA,-9.6,NA,p3k14c
Beta-134617,White Sheep,42Ga4561,USA,Utah,1520,80,Zea mays,Zea Mays,NA,-9.6,NA,p3k14c
Beta-134618,White Sheep,42Ga4561,USA,Utah,1500,80,Zea mays,Zea Mays,NA,9.9,NA,p3k14c
Beta-134615,NA,42Ga4542,USA,Utah,1650,70,Zea mays,Zea Mays,NA,-10.4,NA,p3k14c
Beta-134614,Little Cathedral,42Ga4540,USA,Utah,1610,40,Zea mays,Zea Mays,NA,-10.6,NA,p3k14c
Beta-417357,Antechamber Site,42Ka6163,USA,Utah,1740,30,Zea mays,Zea Mays,NA,-11,AMS,p3k14c
Beta-362329,Antechamber Site,42Ka6163,USA,Utah,1550,30,Zea mays,Zea Mays,NA,-9.2,AMS,p3k14c
