"LabID","SiteName","SiteID","Country","Province","Age","Error","MedianBP","Date","Taxa","Material","Condition","d13C","Method","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","OneSigma_BP_6","OneSigma_BP_7","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5","TwoSigma_BP_6","Source"
"A-2791","Bat Cave",NA,"USA","New Mexico",2340,420,2374,-425,"Zea mays","cupule","uncharred",NA,"AMS","2848 to 1868","1853 to 1837",NA,NA,NA,NA,NA,"3351 to 1506","1503 to 1470","1458 to 1414",NA,NA,NA,"Wills 1988"
"A-3070","Fresnal Shelter","LA10101","USA","New Mexico",2540,200,2599,-650,"Zea mays","cob","uncharred",NA,"RADIOMETRIC","2845 to 2821","2789 to 2350",NA,NA,NA,NA,NA,"3145 to 3122","3111 to 3092","3079 to 2116",NA,NA,NA,"p3k14c"
"A-3071","Fresnal Shelter","LA10101","USA","New Mexico",1990,320,1961,-12,"Zea mays","kernel","uncharred",NA,"RADIOMETRIC","2332 to 1587",NA,NA,NA,NA,NA,NA,"2722 to 1340","1333 to 1310",NA,NA,NA,NA,"p3k14c"
"A-3359","Jemez Cave","LA6164","USA","New Mexico",2410,356,2454,-505,"Zea mays","cob","uncharred",NA,NA,"2856 to 1997",NA,NA,NA,NA,NA,NA,"3336 to 3287","3269 to 1691","1671 to 1613",NA,NA,NA,"p3k14c"
"A-3395","Sheep Camp Shelter","LA40178","USA","New Mexico",2170,180,2157,-208,"Zea mays","kernel","uncharred",NA,"AMS","2353 to 1922","1907 to 1891",NA,NA,NA,NA,NA,"2701 to 2631","2617 to 2579","2574 to 2559","2542 to 1732",NA,NA,"p3k14c"
"A-3396","Sheep Camp Shelter","LA40178","USA","New Mexico",2290,210,2312,-363,"Zea mays","kernel","uncharred",NA,"AMS","2696 to 2637","2614 to 2592","2514 to 2049","2017 to 2008",NA,NA,NA,"2776 to 1819","1811 to 1788","1761 to 1749",NA,NA,NA,"p3k14c"
"A-3500","Los Ojitos","EE:2:137 (ASM)","USA","Arizona",2170,170,2156,-207,"Zea mays","kernel","charred",NA,"AMS","2348 to 1930",NA,NA,NA,NA,NA,NA,"2699 to 2634","2615 to 2584","2568 to 2563","2538 to 2524","2522 to 1736",NA,"p3k14c"
"A-3750","Tumamoc Hill","AZ AA:16:6","USA","Arizona",2470,270,2524,-575,"Zea mays","Maize",NA,NA,"AMS","2847 to 2808","2806 to 2298","2261 to 2155",NA,NA,NA,NA,"3205 to 3196","3176 to 1868","1853 to 1838",NA,NA,NA,"p3k14c"
"A-4166","Bat Cave","LA4935","USA","New Mexico",2780,90,2900,-951,"Zea mays","maize cupule",NA,NA,"RADIOMETRIC","2990 to 2986","2964 to 2771",NA,NA,NA,NA,NA,"3148 to 3120","3112 to 3092","3080 to 2744",NA,NA,NA,"p3k14c"
"A-4167","Bat Cave","LA4935","USA","New Mexico",3010,150,3178,-1229,"Zea mays","cupule","uncharred",NA,"RADIOMETRIC","3366 to 3000",NA,NA,NA,NA,NA,NA,"3486 to 2842","2828 to 2784",NA,NA,NA,NA,"p3k14c"
"A-4180","Tularosa Cave","LAà","USA","New Mexico",1930,140,1861,89,"Zea mays","maize cupule",NA,NA,NA,"2042 to 2024","2004 to 1700","1655 to 1639",NA,NA,NA,NA,"2299 to 2240","2174 to 2172","2157 to 1535",NA,NA,NA,"p3k14c"
"A-4181","Tularosa Cave","LAà","USA","New Mexico",1940,90,1865,85,"Zea mays","maize cupule",NA,NA,NA,"1982 to 1966","1943 to 1744",NA,NA,NA,NA,NA,"2104 to 1696","1663 to 1626",NA,NA,NA,NA,"p3k14c"
"A-4183","Bat Cave",NA,"USA","New Mexico",2460,220,2516,-567,"Zea mays","maize kernel","uncharred",NA,"AMS","2771 to 2304","2230 to 2181",NA,NA,NA,NA,NA,"3059 to 3012","3008 to 1985","1963 to 1946",NA,NA,NA,"Wills 1988"
"A-4185","Bat Cave","LA4935","USA","New Mexico",2690,90,2814,-865,"Zea mays","maize cupule",NA,NA,"RADIOMETRIC","2921 to 2905","2881 to 2735","2733 to 2729",NA,NA,NA,NA,"3057 to 3041","3035 to 3015","3007 to 2695","2639 to 2614","2594 to 2498",NA,"p3k14c"
"A-4187","Bat Cave","LA4935","USA","New Mexico",3740,70,4099,-2150,"Zea mays","Maize","uncharred",NA,"RADIOMETRIC","4229 to 4202","4177 to 4173","4157 to 3982",NA,NA,NA,NA,"4381 to 4375","4352 to 4329","4297 to 3892",NA,NA,NA,"p3k14c"
"A-4188","Bat Cave","LA4935","USA","New Mexico",3120,70,3325,-1376,"Zea mays","Maize","uncharred",NA,"RADIOMETRIC","3441 to 3431","3399 to 3316","3308 to 3238",NA,NA,NA,NA,"3479 to 3475","3467 to 3154","3087 to 3087",NA,NA,NA,"p3k14c"
"A-4189","Bat Cave","LA4935","USA","New Mexico",3060,110,3244,-1295,"Zea mays","maize cupule",NA,NA,"RADIOMETRIC","3386 to 3143","3124 to 3109","3093 to 3078",NA,NA,NA,NA,"3482 to 2949",NA,NA,NA,NA,NA,"p3k14c"
"AA-100805","Dillard Site","5MT10647","USA","Colorado",1489,37,1364,586,"Zea mays","SEEDS",NA,-10.6,"AMS","1395 to 1344","1325 to 1314",NA,NA,NA,NA,NA,"1506 to 1503","1469 to 1458","1413 to 1301",NA,NA,NA,"p3k14c"
"AA-100806","Dillard Site","5MT10647","USA","Colorado",1514,51,1392,558,"Zea mays","SEEDS",NA,-11.7,"AMS","1509 to 1501","1493 to 1492","1471 to 1455","1415 to 1344","1325 to 1314",NA,NA,"1516 to 1482","1477 to 1307",NA,NA,NA,NA,"p3k14c"
"AA-100807","Dillard Site","5MT10647","USA","Colorado",1451,38,1337,613,"Zea mays","SEEDS",NA,-11.1,"AMS","1356 to 1305",NA,NA,NA,NA,NA,NA,"1389 to 1296",NA,NA,NA,NA,NA,"p3k14c"
"AA-100808","Dillard Site","5MT10647","USA","Colorado",1422,32,1325,625,"Zea mays","SEEDS",NA,-11,"AMS","1345 to 1322","1316 to 1300",NA,NA,NA,NA,NA,"1365 to 1365","1363 to 1290",NA,NA,NA,NA,"p3k14c"
"AA-100809","Dillard Site","5MT10647","USA","Colorado",1436,31,1329,621,"Zea mays","SEEDS",NA,-11.5,"AMS","1346 to 1306",NA,NA,NA,NA,NA,NA,"1372 to 1296",NA,NA,NA,NA,NA,"p3k14c"
"AA-100810","Dillard Site","5MT10647","USA","Colorado",1424,37,1327,623,"Zea mays","SEEDS",NA,-10.7,"AMS","1345 to 1300",NA,NA,NA,NA,NA,NA,"1374 to 1289",NA,NA,NA,NA,NA,"p3k14c"
"AA-100811","Dillard Site","5MT10647","USA","Colorado",1437,39,1332,618,"Zea mays","SEEDS",NA,-10.7,"AMS","1349 to 1302",NA,NA,NA,NA,NA,NA,"1382 to 1292",NA,NA,NA,NA,NA,"p3k14c"
"AA-100813","Dillard Site","5MT10647","USA","Colorado",1417,33,1323,627,"Zea mays","SEEDS",NA,-10.8,"AMS","1344 to 1323","1315 to 1298",NA,NA,NA,NA,NA,"1362 to 1288",NA,NA,NA,NA,NA,"p3k14c"
"AA-10373","Alvey Site","42Ka0172","USA","Utah",1735,50,1625,325,"Zea mays","Zea Mays",NA,-10,"AMS","1699 to 1656","1637 to 1569","1552 to 1549",NA,NA,NA,NA,"1723 to 1532",NA,NA,NA,NA,NA,"p3k14c"
"AA-10374","Alvey Site","42Ka0172","USA","Utah",1755,50,1642,308,"Zea mays","Zea Mays",NA,-10,"AMS","1708 to 1685","1678 to 1588",NA,NA,NA,NA,NA,"1737 to 1536",NA,NA,NA,NA,NA,"p3k14c"
"AA-10375","Alvey Site","42Ka0172","USA","Utah",1830,50,1734,216,"Zea mays","Zea Mays",NA,-10,"AMS","1820 to 1806","1796 to 1700","1655 to 1639",NA,NA,NA,NA,"1869 to 1852","1841 to 1687","1676 to 1601",NA,NA,NA,"p3k14c"
"AA-1074","Milagro","BB:10:46 (ASM)","USA","Arizona",2780,90,2900,-951,"Zea mays","kernel","charred",NA,"AMS","2990 to 2986","2964 to 2771",NA,NA,NA,NA,NA,"3148 to 3120","3112 to 3092","3080 to 2744",NA,NA,NA,"p3k14c"
"AA-110819","Mogollon Village","LA 11568","USA","New Mexico",1878,19,1782,168,"Zea mays","cupule","charred",-10.9,"AMS","1821 to 1804","1797 to 1756","1751 to 1744",NA,NA,NA,NA,"1861 to 1859","1829 to 1725","1723 to 1722",NA,NA,NA,"p3k14c"
"AA-110821","Mogollon Village","LA 11568","USA","New Mexico",1938,19,1861,89,"Zea mays",NA,"charred",-9.3,"AMS","1883 to 1829",NA,NA,NA,NA,NA,NA,"1929 to 1821","1807 to 1794","1758 to 1750",NA,NA,NA,"p3k14c"
"AA-111725","Mogollon Village","LA 11568","USA","New Mexico",2137,20,2112,-163,"Zea mays",NA,"charred",-8.8,"AMS","2286 to 2277","2147 to 2098","2084 to 2062",NA,NA,NA,NA,"2293 to 2268","2151 to 2045","2021 to 2005",NA,NA,NA,"p3k14c"
"AA-11955","Eagle Ridge","V:5:104","USA","Arizona",1675,55,1565,385,"Zea mays","maize",NA,NA,"AMS","1692 to 1669","1621 to 1517","1481 to 1478","1430 to 1425",NA,NA,NA,"1700 to 1654","1642 to 1467","1462 to 1413",NA,NA,NA,"p3k14c"
"AA-11957","Eagle Ridge","V:5:104","USA","Arizona",1675,55,1565,385,"Zea mays","maize",NA,NA,"AMS","1692 to 1669","1621 to 1517","1481 to 1478","1430 to 1425",NA,NA,NA,"1700 to 1654","1642 to 1467","1462 to 1413",NA,NA,NA,"p3k14c"
"AA-11963","Eagle Ridge","V:5:104","USA","Arizona",1605,55,1476,474,"Zea mays","maize",NA,NA,"AMS","1531 to 1467","1462 to 1413",NA,NA,NA,NA,NA,"1685 to 1678","1600 to 1592","1590 to 1369",NA,NA,NA,"p3k14c"
"AA-11964","Eagle Ridge","V:5:104","USA","Arizona",1745,55,1634,316,"Zea mays","maize",NA,NA,"AMS","1703 to 1650","1646 to 1585","1581 to 1573",NA,NA,NA,NA,"1746 to 1524",NA,NA,NA,NA,NA,"p3k14c; Elson and Lindeman 1994:108"
"AA-12053","Milagro","BB:10:46 (ASM)","USA","Arizona",2910,45,3051,-1102,"Zea mays","kernel","charred",NA,"AMS","3144 to 3123","3110 to 3093","3079 to 2993","2983 to 2966",NA,NA,NA,"3206 to 3195","3177 to 2927","2899 to 2885",NA,NA,NA,"p3k14c"
"AA-12054","Milagro","BB:10:46 (ASM)","USA","Arizona",2775,60,2876,-927,"Zea mays","kernel","charred",NA,"AMS","2947 to 2945","2938 to 2843","2827 to 2784",NA,NA,NA,NA,"3055 to 3047","3028 to 3019","3004 to 2757",NA,NA,NA,"p3k14c"
"AA-12055","Milagro","BB:10:46 (ASM)","USA","Arizona",2930,45,3081,-1132,"Zea mays","kernel","charred",NA,"AMS","3155 to 3155","3153 to 3088","3084 to 3003",NA,NA,NA,NA,"3217 to 2949",NA,NA,NA,NA,NA,"p3k14c"
"AA-12056","Milagro","BB:10:46 (ASM)","USA","Arizona",2915,45,3059,-1110,"Zea mays","kernel","charred",NA,"AMS","3146 to 3121","3112 to 3091","3080 to 2995","2979 to 2968",NA,NA,NA,"3208 to 3192","3182 to 2931","2895 to 2889",NA,NA,NA,"p3k14c"
"AA-13124","Donaldson / Matty Canyon","EE:2:30 (ASM)","USA","Arizona",2320,55,2338,-389,"Zea mays","cupule","charred",NA,"AMS","2420 to 2384","2371 to 2303","2233 to 2179","2163 to 2162",NA,NA,NA,"2669 to 2657","2611 to 2601","2492 to 2292","2269 to 2151",NA,NA,"p3k14c"
"AA-13125","Donaldson / Matty Canyon","EE:2:30 (ASM)","USA","Arizona",2505,55,2580,-631,"Zea mays","cupule","charred",NA,"AMS","2723 to 2673","2655 to 2650","2648 to 2612","2599 to 2494",NA,NA,NA,"2740 to 2411","2385 to 2370",NA,NA,NA,NA,"p3k14c"
"AA-13256","Square Hearth","AA:12:745","USA","Arizona",1630,65,1503,447,"Zea mays","maize",NA,-10,"AMS","1568 to 1553","1548 to 1410",NA,NA,NA,NA,NA,"1695 to 1664","1625 to 1372",NA,NA,NA,NA,"p3k14c"
"AA-13257","Square Hearth","AZ AA:12:745","USA","Arizona",3505,65,3775,-1826,"Zea mays","Maize",NA,-10,"AMS","3872 to 3872","3870 to 3858","3851 to 3692",NA,NA,NA,NA,"3968 to 3945","3928 to 3617","3604 to 3584",NA,NA,NA,"p3k14c"
"AA-13259","Square Hearth","AA:12:745","USA","Arizona",1765,55,1650,300,"Zea mays","maize",NA,-10,"AMS","1715 to 1684","1679 to 1588",NA,NA,NA,NA,NA,"1817 to 1812","1787 to 1762","1748 to 1535",NA,NA,NA,"p3k14c"
"AA-13260","Square Hearth","AA:12:745 (ASM)","USA","Arizona",2135,80,2117,-168,"Zea mays","Maize",NA,-10,"AMS","2300 to 2240","2174 to 2172","2157 to 1998",NA,NA,NA,NA,"2332 to 1931",NA,NA,NA,NA,NA,"p3k14c"
"AA-13261","Square Hearth","AA:12:745","USA","Arizona",1645,60,1524,426,"Zea mays","maize",NA,-10,"AMS","1684 to 1679","1587 to 1509","1501 to 1472","1456 to 1415",NA,NA,NA,"1696 to 1662","1627 to 1388",NA,NA,NA,NA,"p3k14c"
"AA-13264","Square Hearth","AA:12:745","USA","Arizona",1565,60,1451,499,"Zea mays","maize",NA,-10,"AMS","1517 to 1480","1478 to 1429","1425 to 1390",NA,NA,NA,NA,"1547 to 1341","1332 to 1311",NA,NA,NA,NA,"p3k14c"
"AA-19519","The Pits","AZ J:14:17","USA","Arizona",2035,65,1980,-31,"Zea mays","Maize",NA,-11.1,"AMS","2097 to 2087","2057 to 1887",NA,NA,NA,NA,NA,"2292 to 2270","2150 to 1823",NA,NA,NA,NA,"p3k14c"
"AA-19520","The Pits","J:14:23","USA","Arizona",1940,65,1862,88,"Zea mays","Maize",NA,-12.2,"AMS","1936 to 1784","1763 to 1748",NA,NA,NA,NA,NA,"2037 to 2032","2001 to 1711",NA,NA,NA,NA,"p3k14c"
"AA-19521","The Pits","J:14:23","USA","Arizona",1995,65,1928,22,"Zea mays","Maize",NA,-10.9,"AMS","1999 to 1863","1857 to 1831",NA,NA,NA,NA,NA,"2101 to 2077","2073 to 1747",NA,NA,NA,NA,"p3k14c"
"AA-19522","The Pits","J:14:23","USA","Arizona",2005,65,1941,9,"Zea mays","Maize",NA,-10.4,"AMS","2039 to 2029","2002 to 1866","1855 to 1834",NA,NA,NA,NA,"2117 to 1782","1764 to 1747",NA,NA,NA,NA,"p3k14c"
"AA-27427","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2920,45,3066,-1117,"Zea mays","Maize","charred",NA,"AMS","3149 to 3090","3082 to 2997",NA,NA,NA,NA,NA,"3209 to 2937",NA,NA,NA,NA,NA,"p3k14c"
"AA-27428","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2760,45,2852,-903,"Zea mays","Maize","charred",NA,"AMS","2918 to 2907","2880 to 2782",NA,NA,NA,NA,NA,"2956 to 2765",NA,NA,NA,NA,NA,"p3k14c"
"AA-27429","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2915,55,3060,-1111,"Zea mays","Maize","charred",NA,"AMS","3150 to 3090","3082 to 2993","2982 to 2966",NA,NA,NA,NA,"3214 to 2917","2907 to 2880",NA,NA,NA,NA,"p3k14c"
"AA-27430","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2750,60,2850,-901,"Zea mays","Maize","charred",NA,"AMS","2920 to 2905","2881 to 2771",NA,NA,NA,NA,NA,"2994 to 2980","2967 to 2752",NA,NA,NA,NA,"p3k14c"
"AA-27431","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2820,70,2934,-985,"Zea mays","Maize","charred",NA,"AMS","3056 to 3045","3030 to 3017","3004 to 2848","2812 to 2809","2807 to 2805",NA,NA,"3146 to 3122","3111 to 3093","3079 to 2768",NA,NA,NA,"p3k14c"
"AA-27432","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2790,50,2892,-943,"Zea mays","Maize","charred",NA,"AMS","2956 to 2847","2814 to 2796",NA,NA,NA,NA,NA,"3054 to 3048","3026 to 3020","3003 to 2767",NA,NA,NA,"p3k14c"
"AA-27433","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2820,45,2925,-976,"Zea mays","Maize","charred",NA,"AMS","2993 to 2983","2965 to 2859",NA,NA,NA,NA,NA,"3063 to 2844","2825 to 2787",NA,NA,NA,NA,"p3k14c"
"AA-27434","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2800,55,2905,-956,"Zea mays","Maize","charred",NA,"AMS","2963 to 2847","2817 to 2793",NA,NA,NA,NA,NA,"3059 to 3013","3008 to 2775",NA,NA,NA,NA,"p3k14c"
"AA-27435","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2910,50,3052,-1103,"Zea mays","Maize","charred",NA,"AMS","3146 to 3122","3111 to 3092","3079 to 2990","2986 to 2965",NA,NA,NA,"3208 to 3190","3184 to 2923","2903 to 2883",NA,NA,NA,"p3k14c"
"AA-27436","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2830,50,2939,-990,"Zea mays","Maize","charred",NA,"AMS","2998 to 2862",NA,NA,NA,NA,NA,NA,"3135 to 3130","3103 to 3097","3074 to 2842","2828 to 2785",NA,NA,"p3k14c"
"AA-27437","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2895,55,3033,-1084,"Zea mays","Maize","charred",NA,"AMS","3145 to 3122","3111 to 3092","3079 to 2955",NA,NA,NA,NA,"3205 to 3195","3176 to 2873",NA,NA,NA,NA,"p3k14c"
"AA-27438","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2940,50,3095,-1146,"Zea mays","Maize","charred",NA,"AMS","3166 to 3003",NA,NA,NA,NA,NA,NA,"3319 to 3305","3243 to 2952",NA,NA,NA,NA,"p3k14c"
"AA-2782","Cortaro Fan","AA:12:486 (ASM)","USA","Arizona",2790,60,2895,-946,"Zea mays","kernel","charred",NA,"AMS","2958 to 2845","2821 to 2788",NA,NA,NA,NA,NA,"3058 to 3040","3035 to 3013","3007 to 2762",NA,NA,NA,"p3k14c"
"AA-2783","Cortaro Fan","AA:12:486 (ASM)","USA","Arizona",2595,70,2698,-749,"Zea mays","kernel","charred",NA,"AMS","2778 to 2697","2636 to 2615","2591 to 2516",NA,NA,NA,NA,"2854 to 2464","2448 to 2437",NA,NA,NA,NA,"p3k14c"
"AA-27835","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2974,45,3144,-1195,"Zea mays","Maize","charred",NA,"AMS","3214 to 3071",NA,NA,NA,NA,NA,NA,"3329 to 3293","3254 to 2997","2974 to 2971",NA,NA,NA,"p3k14c"
"AA-27836","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2952,55,3111,-1162,"Zea mays","Maize","charred",NA,"AMS","3207 to 3194","3179 to 3055","3047 to 3027","3019 to 3004",NA,NA,NA,"3328 to 3294","3254 to 2955",NA,NA,NA,NA,"p3k14c"
"AA-27837","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2895,50,3032,-1083,"Zea mays","Maize","charred",NA,"AMS","3143 to 3124","3108 to 3094","3077 to 2957",NA,NA,NA,NA,"3170 to 2877",NA,NA,NA,NA,NA,"p3k14c"
"AA-27838","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2923,63,3072,-1123,"Zea mays","Maize","charred",NA,"AMS","3163 to 2994","2981 to 2966",NA,NA,NA,NA,NA,"3317 to 3307","3239 to 2878",NA,NA,NA,NA,"p3k14c"
"AA-28495","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2835,50,2945,-996,"Zea mays","Maize","charred",NA,"AMS","3002 to 2863",NA,NA,NA,NA,NA,NA,"3139 to 3127","3105 to 3096","3075 to 2844","2826 to 2787",NA,NA,"p3k14c"
"AA-28496","Valley Farms","AA:12:736 (ASM)","USA","Arizona",3145,50,3366,-1417,"Zea mays","Maize","charred",-9.1,"AMS","3445 to 3425","3408 to 3336","3287 to 3268",NA,NA,NA,NA,"3454 to 3233",NA,NA,NA,NA,NA,"p3k14c"
"AA-28497","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2950,55,3109,-1160,"Zea mays","Maize","charred",NA,"AMS","3205 to 3195","3176 to 3053","3049 to 3026","3020 to 3004",NA,NA,NA,"3328 to 3294","3254 to 2954",NA,NA,NA,NA,"p3k14c"
"AA-28498","Valley Farms","AA:12:736 (ASM)","USA","Arizona",2930,50,3081,-1132,"Zea mays","Maize","charred",NA,"AMS","3157 to 3002",NA,NA,NA,NA,NA,NA,"3230 to 2932","2894 to 2889",NA,NA,NA,NA,"p3k14c"
"AA-3304","San Marcos",NA,"Mexico","Puebla",4680,50,5405,-3456,"Zea mays","cob","uncharred",NA,"AMS","5467 to 5439","5416 to 5323",NA,NA,NA,NA,NA,"5574 to 5526","5519 to 5511","5482 to 5313",NA,NA,NA,"p3k14c"
"AA-3305","San Marcos",NA,"Mexico","Puebla",4700,60,5425,-3476,"Zea mays","cob","uncharred",NA,"AMS","5552 to 5537","5477 to 5438","5417 to 5323",NA,NA,NA,NA,"5579 to 5502","5489 to 5317",NA,NA,NA,NA,"p3k14c"
"AA-3306","San Marcos",NA,"Mexico","Puebla",4150,50,4688,-2739,"Zea mays","cob","uncharred",NA,"AMS","4820 to 4783","4767 to 4748","4730 to 4615","4596 to 4584",NA,NA,NA,"4830 to 4567","4560 to 4530",NA,NA,NA,NA,"p3k14c"
"AA-3307","Coxcatlan",NA,"Mexico","Puebla",1900,60,1813,137,"Zea mays","cob","uncharred",NA,"AMS","1880 to 1736",NA,NA,NA,NA,NA,NA,"1987 to 1962","1947 to 1702","1653 to 1643",NA,NA,NA,"p3k14c"
"AA-3308","Coxcatlan",NA,"Mexico","Puebla",4090,50,4607,-2658,"Zea mays","cob","uncharred",NA,"AMS","4797 to 4760","4694 to 4677","4644 to 4632","4628 to 4521","4462 to 4452",NA,NA,"4820 to 4749","4729 to 4507","4490 to 4439","4428 to 4426",NA,NA,"Ancient Maize Map"
"AA-3309","Coxcatlan",NA,"Mexico","Puebla",1860,45,1772,178,"Zea mays","cob","uncharred",NA,"AMS","1821 to 1720",NA,NA,NA,NA,NA,NA,"1882 to 1697","1661 to 1630",NA,NA,NA,NA,"p3k14c"
"AA-3310","San Marcos",NA,"Mexico","Puebla",4600,60,5315,-3366,"Zea mays","cob","uncharred",NA,"AMS","5460 to 5377","5355 to 5348","5331 to 5280","5164 to 5137","5100 to 5075",NA,NA,"5471 to 5214","5194 to 5051",NA,NA,NA,NA,"p3k14c"
"AA-3311","San Marcos",NA,"Mexico","Puebla",4700,110,5417,-3468,"Zea mays","cob","uncharred",NA,"AMS","5576 to 5508","5484 to 5319",NA,NA,NA,NA,NA,"5650 to 5631","5604 to 5213","5196 to 5050",NA,NA,NA,"p3k14c"
"AA-3312","Coxcatlan",NA,"Mexico","Puebla",4040,100,4540,-2591,"Zea mays","cob","uncharred",NA,"AMS","4802 to 4758","4696 to 4674","4648 to 4413",NA,NA,NA,NA,"4829 to 4288","4273 to 4250",NA,NA,NA,NA,"p3k14c"
"AA-3313","Coxcatlan",NA,"Mexico","Puebla",3740,60,4096,-2147,"Zea mays","cob","uncharred",NA,"AMS","4224 to 4205","4154 to 4062","4051 to 3985",NA,NA,NA,NA,"4290 to 4267","4256 to 3905",NA,NA,NA,NA,"p3k14c"
"AA-3314","Coxcatlan",NA,"Mexico","Puebla",450,40,503,1447,"Zea mays","cob","uncharred",NA,"AMS","526 to 489","487 to 481",NA,NA,NA,NA,NA,"543 to 445","355 to 333",NA,NA,NA,NA,"p3k14c"
"AA-3315","San Marcos",NA,"Mexico","Puebla",1560,45,1449,501,"Zea mays","cob","uncharred",NA,"AMS","1515 to 1484","1476 to 1449","1444 to 1433","1421 to 1387",NA,NA,NA,"1531 to 1358",NA,NA,NA,NA,NA,"p3k14c"
"AA-33184","La Playa","SON F:10:3","Mexico","Sonora",1885,50,1795,155,"Zea mays","Maize",NA,NA,NA,"1866 to 1855","1834 to 1730",NA,NA,NA,NA,NA,"1928 to 1702","1652 to 1644",NA,NA,NA,NA,"p3k14c"
"AA-33185","La Playa","SON F:10:3","USA","Arizona",1825,50,1728,222,"Zea mays","maize",NA,NA,NA,"1819 to 1808","1793 to 1758","1750 to 1698","1660 to 1632",NA,NA,NA,"1867 to 1854","1837 to 1685","1678 to 1599","1593 to 1589",NA,NA,"Carpenter et al. 2015"
"AA-33923","San Andres",NA,"Mexico","Tabasco",2565,45,2647,-698,"Zea mays","kernel","charred",NA,"AMS","2753 to 2700","2632 to 2616","2583 to 2570","2563 to 2540","2526 to 2522",NA,NA,"2759 to 2673","2655 to 2650","2648 to 2612","2600 to 2494",NA,NA,"p3k14c"
"AA-33924","San Andres",NA,"Mexico","Tabasco",2430,35,2471,-522,"Zea mays","cob",NA,NA,"AMS","2671 to 2656","2611 to 2601","2493 to 2362",NA,NA,NA,NA,"2699 to 2633","2615 to 2584","2569 to 2562","2539 to 2353",NA,NA,"p3k14c"
"AA-33925","San Andres",NA,"Mexico","Tabasco",2390,50,2441,-492,"Zea mays","cob",NA,NA,"AMS","2663 to 2662","2608 to 2606","2489 to 2348",NA,NA,NA,NA,"2699 to 2633","2615 to 2584","2570 to 2562","2539 to 2336",NA,NA,"p3k14c"
"AA-33926","San Andres",NA,"Mexico","Tabasco",2505,45,2584,-635,"Zea mays","cob",NA,NA,"AMS","2722 to 2685","2643 to 2613","2598 to 2496",NA,NA,NA,NA,"2739 to 2425","2381 to 2375",NA,NA,NA,NA,"p3k14c"
"AA-34172","San Luis de Cabezon",NA,"USA","New Mexico",3085,45,3291,-1342,"Zea mays","kernel",NA,-10.1,"RADIOMETRIC","3362 to 3317","3307 to 3238",NA,NA,NA,NA,NA,"3388 to 3172",NA,NA,NA,NA,NA,"Ancient Maize Map"
"AA-34173","San Luis de Cabezon","LA110946","USA","New Mexico",3125,45,3342,-1393,"Zea mays","Maize","charred",-9.4,"AMS","3394 to 3327","3295 to 3254",NA,NA,NA,NA,NA,"3446 to 3416","3414 to 3228",NA,NA,NA,NA,"p3k14c"
"AA-34174","San Luis de Cabezon",NA,"USA","New Mexico",3120,45,3336,-1387,"Zea mays","kernel",NA,-9.4,"RADIOMETRIC","3390 to 3326","3297 to 3253",NA,NA,NA,NA,NA,"3445 to 3422","3411 to 3217",NA,NA,NA,NA,"Ancient Maize Map"
"AA-34175","San Luis de Cabezon",NA,"USA","New Mexico",3115,50,3326,-1377,"Zea mays","kernel",NA,-9.7,"RADIOMETRIC","3389 to 3322","3302 to 3249",NA,NA,NA,NA,NA,"3447 to 3211",NA,NA,NA,NA,NA,"Ancient Maize Map"
"AA-34176","San Luis de Cabezon","LA110946","USA","New Mexico",3055,45,3264,-1315,"Zea mays","Maize","charred",-8.9,"AMS","3344 to 3283","3274 to 3210",NA,NA,NA,NA,NA,"3374 to 3149","3118 to 3115","3089 to 3083",NA,NA,NA,"p3k14c"
"AA-4174","Bechan Cave","42Ka2546","USA","Utah",1240,180,1140,810,"Zea mays","Zea Mays",NA,NA,"RADIOMETRIC","1297 to 971","967 to 961",NA,NA,NA,NA,NA,"1515 to 1485","1475 to 1450","1443 to 1434","1420 to 783",NA,NA,"p3k14c"
"AA-4457","Fairbank","EE:8:1 (ASM)","USA","Arizona",2815,80,2933,-984,"Zea mays","kernel","charred",NA,"AMS","3054 to 3047","3028 to 3019","3003 to 2845","2822 to 2789",NA,NA,NA,"3149 to 3091","3081 to 2761",NA,NA,NA,NA,"p3k14c"
