"LabID","SiteName","SiteID","Country","Province","Age","Error","MedianBP","Date","Taxa","Material","Condition","d13C","Method","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","OneSigma_BP_6","OneSigma_BP_7","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5","TwoSigma_BP_6","Source"
"Beta-145108","Las Capas","AA:12:111 (ASM)","USA","Arizona",3060,40,3272,-1323,"Zea mays","unknown",NA,-10.3,"AMS","3341 to 3284","3273 to 3216",NA,NA,NA,NA,NA,"3368 to 3166",NA,NA,NA,NA,NA,"p3k14c"
"Beta-148405","Las Capas","AA:12:111 (ASM)","USA","Arizona",2940,40,3096,-1147,"Zea mays","unknown",NA,-12.3,"AMS","3165 to 3057","3044 to 3031","3016 to 3005",NA,NA,NA,NA,"3209 to 2965",NA,NA,NA,NA,NA,"p3k14c"
"Beta-148407","Las Capas","AA:12:111 (ASM)","USA","Arizona",2940,40,3096,-1147,"Zea mays","unknown",NA,NA,"AMS","3165 to 3057","3044 to 3031","3016 to 3005",NA,NA,NA,NA,"3209 to 2965",NA,NA,NA,NA,NA,"p3k14c"
"Beta-148408","Las Capas","AA:12:111 (ASM)","USA","Arizona",3060,40,3272,-1323,"Zea mays","unknown",NA,-9.8,"AMS","3341 to 3284","3273 to 3216",NA,NA,NA,NA,NA,"3368 to 3166",NA,NA,NA,NA,NA,"p3k14c"
"Beta-148409","Las Capas","AA:12:111 (ASM)","USA","Arizona",3670,40,4004,-2055,"Zea mays","kernel","charred",-10.6,"AMS","4084 to 4029","4013 to 4013","4011 to 3965","3947 to 3927",NA,NA,NA,"4144 to 4122","4094 to 3887",NA,NA,NA,NA,"p3k14c"
"Beta-149374","High Rolls Cave","LA 114109","USA","New Mexico",2060,80,2020,-71,"Zea mays","Maize",NA,NA,"AMS","2122 to 1922","1907 to 1891",NA,NA,NA,NA,NA,"2305 to 2227","2207 to 2195","2181 to 1822","1803 to 1798",NA,NA,"p3k14c"
"Beta-150669",NA,"42Ka5628","USA","Utah",960,70,853,1097,"Zea mays","Zea Mays",NA,-10.8,NA,"926 to 790",NA,NA,NA,NA,NA,NA,"1050 to 1034","975 to 724","700 to 699",NA,NA,NA,"p3k14c"
"Beta-150670",NA,"42Ka5609","USA","Utah",1110,80,1027,923,"Zea mays","Zea Mays",NA,-10.6,NA,"1174 to 1165","1118 to 1101","1074 to 929",NA,NA,NA,NA,"1259 to 1255","1246 to 1210","1177 to 902","868 to 820","811 to 800",NA,"p3k14c"
"Beta-150671","Hell Dive Alcove","42Ka1695","USA","Utah",1290,60,1212,738,"Zea mays","Zea Mays",NA,-10.4,NA,"1289 to 1176","1157 to 1155",NA,NA,NA,NA,NA,"1301 to 1175","1168 to 1069",NA,NA,NA,NA,"p3k14c"
"Beta-154658",NA,"42Wn2400","USA","Utah",1500,40,1374,576,"Zea mays","Zea Mays",NA,-11.7,NA,"1405 to 1345","1323 to 1315",NA,NA,NA,NA,NA,"1513 to 1488","1474 to 1452","1439 to 1436","1418 to 1303",NA,NA,"p3k14c"
"Beta-155367","Julian Wash","AZ BB:13:17","USA","Arizona",2200,40,2223,-274,"Zea mays","Maize",NA,-10.4,"AMS","2307 to 2284","2279 to 2225","2210 to 2193","2182 to 2147","2130 to 2129",NA,NA,"2335 to 2105",NA,NA,NA,NA,NA,"p3k14c"
"Beta-155368","Julian Wash","AZ BB:13:17","USA","Arizona",2290,40,2303,-354,"Zea mays","Maize",NA,-10.2,"AMS","2349 to 2306","2227 to 2207","2194 to 2182",NA,NA,NA,NA,"2355 to 2298","2261 to 2155",NA,NA,NA,NA,"p3k14c"
